FID	place_name	category1	DEM_RANGE	DEM_MEAN	HDIS_MIN	HDIS_MEAN	FAC_MEAN	GRA_MEAN	RELIEF_MEAN	ROUGHNESS_MEAN	VDIS_MIN_	VDIS_MEAN
33512	®ãÀY§|	§|	202.0 	290.8 	512.3 	994.6 	25.1 	18.4 	233.2 	0.3 	4.0 	76.4 
33515	¥´ÅK§|	§|	117.0 	147.8 	0.0 	196.7 	79.1 	14.7 	112.3 	0.2 	0.0 	26.0 
33540	¦è¶Õ§|	§|	175.0 	235.0 	481.7 	975.4 	30.6 	20.1 	206.6 	0.3 	0.0 	73.0 
33801	¥x¤æ§|	§|	15.0 	28.3 	0.0 	160.9 	199.2 	1.9 	15.7 	0.0 	0.0 	1.8 
33814	¤U°p§|¤f	§|	357.0 	431.5 	0.0 	214.0 	12873.2 	18.5 	328.0 	0.3 	0.0 	85.3 
33833	¥Û§|	§|	272.0 	450.2 	200.0 	613.0 	25.6 	26.5 	348.9 	0.4 	0.0 	242.0 
33836	¥Û§|	§|	294.0 	633.2 	0.0 	283.2 	54.2 	22.5 	377.6 	0.4 	0.0 	103.7 
33837	¥Û§|¤l	§|	165.0 	144.0 	0.0 	335.0 	81.5 	21.5 	185.2 	0.3 	0.0 	64.2 
33850	¦Ë¥J§|	§|	80.0 	37.2 	0.0 	176.2 	518.2 	5.1 	74.8 	0.1 	0.0 	13.9 
33852	¤g¦a¤½§|	§|	78.0 	59.0 	113.1 	642.5 	66.7 	9.9 	81.5 	0.2 	0.0 	21.5 
33853	«n¶Õ§|	§|	78.0 	62.0 	243.3 	777.6 	63.7 	10.7 	82.3 	0.2 	0.0 	23.4 
33859	¦Ë¥J§|	§|	82.0 	38.5 	0.0 	184.7 	471.3 	5.3 	75.6 	0.1 	0.0 	14.8 
33880	³À¼p§|	§|	73.0 	28.1 	452.5 	944.3 	27.0 	7.6 	67.6 	0.1 	0.0 	21.2 
33888	µ¯¥J§|	§|	39.0 	10.8 	0.0 	184.8 	422.4 	5.6 	44.4 	0.1 	0.0 	7.2 
33889	µ¯¥J§|	§|	39.0 	11.5 	0.0 	191.7 	352.0 	5.9 	44.7 	0.1 	0.0 	7.6 
33891	­W¥J§|	§|	59.0 	27.3 	80.0 	494.9 	18.7 	10.7 	56.4 	0.2 	0.0 	21.2 
33892	§|¤º	§|	46.0 	15.1 	0.0 	257.4 	209.5 	7.2 	46.8 	0.1 	0.0 	10.8 
